# temp       potential
3.700000e-01 -2.962085e+00
3.800000e-01 -2.953827e+00
3.900000e-01 -2.944778e+00
4.000000e-01 -2.937292e+00
4.100000e-01 -2.930222e+00
4.200000e-01 -2.922894e+00
4.300000e-01 -2.915662e+00
4.350000e-01 -2.912750e+00
4.400000e-01 -2.909771e+00
4.500000e-01 -2.903385e+00
4.600000e-01 -2.897957e+00
4.700000e-01 -2.891782e+00
4.800000e-01 -2.886301e+00
5.000000e-01 -2.875615e+00
5.200000e-01 -2.867008e+00
5.400000e-01 -2.858167e+00
5.700000e-01 -2.846715e+00
6.000000e-01 -2.838595e+00
6.500000e-01 -2.827001e+00
7.000000e-01 -2.819396e+00
8.000000e-01 -2.809305e+00
9.000000e-01 -2.803620e+00
1.000000e+00 -2.800227e+00
1.200000e+00 -2.796749e+00
1.500000e+00 -2.793861e+00
2.000000e+00 -2.791387e+00
3.000000e+00 -2.788239e+00
4.000000e+00 -2.787750e+00
5.000000e+00 -2.786745e+00
