# temp       potential
3.700000e-01 -2.423284e+00
3.800000e-01 -2.401276e+00
3.900000e-01 -2.375885e+00
4.000000e-01 -2.354329e+00
4.100000e-01 -2.333115e+00
4.200000e-01 -2.311323e+00
4.300000e-01 -2.287665e+00
4.350000e-01 -2.278601e+00
4.400000e-01 -2.267329e+00
4.500000e-01 -2.246212e+00
4.600000e-01 -2.226077e+00
4.700000e-01 -2.203624e+00
4.800000e-01 -2.184798e+00
5.000000e-01 -2.141569e+00
5.200000e-01 -2.102195e+00
5.400000e-01 -2.061407e+00
5.700000e-01 -2.000866e+00
6.000000e-01 -1.943372e+00
6.500000e-01 -1.848031e+00
7.000000e-01 -1.758650e+00
8.000000e-01 -1.578413e+00
9.000000e-01 -1.409368e+00
1.000000e+00 -1.248741e+00
1.200000e+00 -9.435535e-01
1.500000e+00 -5.237158e-01
2.000000e+00 1.213404e-01
3.000000e+00 1.238796e+00
4.000000e+00 2.221742e+00
5.000000e+00 3.122089e+00
