# r          g(r)
2.625000e-02 0.000000e+00
4.375000e-02 0.000000e+00
6.125000e-02 0.000000e+00
7.875000e-02 0.000000e+00
9.625000e-02 0.000000e+00
1.137500e-01 0.000000e+00
1.312500e-01 0.000000e+00
1.487500e-01 0.000000e+00
1.662500e-01 0.000000e+00
1.837500e-01 0.000000e+00
2.012500e-01 0.000000e+00
2.187500e-01 0.000000e+00
2.362500e-01 0.000000e+00
2.537500e-01 0.000000e+00
2.712500e-01 0.000000e+00
2.887500e-01 0.000000e+00
3.062500e-01 0.000000e+00
3.237500e-01 0.000000e+00
3.412500e-01 0.000000e+00
3.587500e-01 0.000000e+00
3.762500e-01 0.000000e+00
3.937500e-01 0.000000e+00
4.112500e-01 0.000000e+00
4.287500e-01 0.000000e+00
4.462500e-01 0.000000e+00
4.637500e-01 0.000000e+00
4.812500e-01 0.000000e+00
4.987500e-01 0.000000e+00
5.162500e-01 0.000000e+00
5.337500e-01 0.000000e+00
5.512500e-01 0.000000e+00
5.687500e-01 0.000000e+00
5.862500e-01 0.000000e+00
6.037500e-01 0.000000e+00
6.212500e-01 0.000000e+00
6.387500e-01 0.000000e+00
6.562500e-01 0.000000e+00
6.737500e-01 0.000000e+00
6.912500e-01 0.000000e+00
7.087500e-01 0.000000e+00
7.262501e-01 0.000000e+00
7.437500e-01 0.000000e+00
7.612500e-01 0.000000e+00
7.787500e-01 1.708495e-04
7.962500e-01 1.447460e-03
8.137500e-01 1.385877e-02
8.312500e-01 6.509990e-02
8.487500e-01 1.951388e-01
8.662500e-01 4.455415e-01
8.837500e-01 8.015049e-01
9.012500e-01 1.215491e+00
9.187500e-01 1.613057e+00
9.362500e-01 1.930545e+00
9.537500e-01 2.157827e+00
9.712500e-01 2.265163e+00
9.887500e-01 2.293248e+00
1.006250e+00 2.247071e+00
1.023750e+00 2.160035e+00
1.041250e+00 2.060681e+00
1.058750e+00 1.916985e+00
1.076250e+00 1.795234e+00
1.093750e+00 1.669895e+00
1.111250e+00 1.546266e+00
1.128750e+00 1.430771e+00
1.146250e+00 1.335222e+00
1.163750e+00 1.233955e+00
1.181250e+00 1.154918e+00
1.198750e+00 1.089744e+00
1.216250e+00 1.019270e+00
1.233750e+00 9.620537e-01
1.251250e+00 9.173129e-01
1.268750e+00 8.751377e-01
1.286250e+00 8.369051e-01
1.303750e+00 8.117992e-01
1.321250e+00 7.840092e-01
1.338750e+00 7.620673e-01
1.356250e+00 7.460878e-01
1.373750e+00 7.383367e-01
1.391250e+00 7.293443e-01
1.408750e+00 7.228546e-01
1.426250e+00 7.280353e-01
1.443750e+00 7.291402e-01
1.461250e+00 7.376010e-01
1.478750e+00 7.464416e-01
1.496250e+00 7.605709e-01
1.513750e+00 7.684341e-01
1.531250e+00 7.900696e-01
1.548750e+00 8.073044e-01
1.566250e+00 8.244628e-01
1.583750e+00 8.440145e-01
1.601250e+00 8.682337e-01
1.618750e+00 8.869479e-01
1.636250e+00 9.094323e-01
1.653750e+00 9.259024e-01
1.671250e+00 9.502828e-01
1.688750e+00 9.712853e-01
1.706250e+00 9.893225e-01
1.723750e+00 1.012670e+00
1.741250e+00 1.036043e+00
1.758750e+00 1.056986e+00
1.776250e+00 1.072681e+00
1.793750e+00 1.092563e+00
1.811250e+00 1.107037e+00
1.828750e+00 1.123090e+00
1.846250e+00 1.133826e+00
1.863750e+00 1.142052e+00
1.881250e+00 1.152305e+00
1.898750e+00 1.148629e+00
1.916250e+00 1.148337e+00
1.933750e+00 1.146155e+00
1.951250e+00 1.137808e+00
1.968750e+00 1.123725e+00
1.986250e+00 1.116134e+00
2.003750e+00 1.099326e+00
2.021250e+00 1.090433e+00
2.038750e+00 1.075028e+00
2.056250e+00 1.055071e+00
2.073750e+00 1.043628e+00
2.091250e+00 1.033026e+00
2.108750e+00 1.013510e+00
2.126250e+00 1.000444e+00
2.143750e+00 9.882513e-01
