# r          g(r)
2.625000e-02 0.000000e+00
4.375000e-02 0.000000e+00
6.125000e-02 0.000000e+00
7.875000e-02 0.000000e+00
9.625000e-02 0.000000e+00
1.137500e-01 0.000000e+00
1.312500e-01 0.000000e+00
1.487500e-01 0.000000e+00
1.662500e-01 0.000000e+00
1.837500e-01 0.000000e+00
2.012500e-01 0.000000e+00
2.187500e-01 0.000000e+00
2.362500e-01 0.000000e+00
2.537500e-01 0.000000e+00
2.712500e-01 0.000000e+00
2.887500e-01 0.000000e+00
3.062500e-01 0.000000e+00
3.237500e-01 0.000000e+00
3.412500e-01 0.000000e+00
3.587500e-01 0.000000e+00
3.762500e-01 0.000000e+00
3.937500e-01 0.000000e+00
4.112500e-01 0.000000e+00
4.287500e-01 0.000000e+00
4.462500e-01 0.000000e+00
4.637500e-01 0.000000e+00
4.812500e-01 0.000000e+00
4.987500e-01 0.000000e+00
5.162500e-01 0.000000e+00
5.337500e-01 0.000000e+00
5.512500e-01 0.000000e+00
5.687500e-01 0.000000e+00
5.862500e-01 0.000000e+00
6.037500e-01 0.000000e+00
6.212500e-01 0.000000e+00
6.387500e-01 0.000000e+00
6.562500e-01 0.000000e+00
6.737500e-01 0.000000e+00
6.912500e-01 0.000000e+00
7.087500e-01 0.000000e+00
7.262501e-01 0.000000e+00
7.437500e-01 0.000000e+00
7.612500e-01 4.597581e-04
7.787500e-01 1.835411e-02
7.962500e-01 1.869558e-01
8.137500e-01 8.620155e-01
8.312500e-01 2.273334e+00
8.487500e-01 3.941652e+00
8.662500e-01 5.227119e+00
8.837500e-01 5.580420e+00
9.012500e-01 5.241190e+00
9.187500e-01 4.534348e+00
9.362500e-01 3.701649e+00
9.537500e-01 2.904646e+00
9.712500e-01 2.262856e+00
9.887500e-01 1.768379e+00
1.006250e+00 1.389216e+00
1.023750e+00 1.097029e+00
1.041250e+00 8.909621e-01
1.058750e+00 7.296461e-01
1.076250e+00 6.156372e-01
1.093750e+00 5.298516e-01
1.111250e+00 4.720822e-01
1.128750e+00 4.261421e-01
1.146250e+00 3.908138e-01
1.163750e+00 3.675821e-01
1.181250e+00 3.472467e-01
1.198750e+00 3.364009e-01
1.216250e+00 3.267683e-01
1.233750e+00 3.260461e-01
1.251250e+00 3.253636e-01
1.268750e+00 3.263640e-01
1.286250e+00 3.270283e-01
1.303750e+00 3.295232e-01
1.321250e+00 3.413712e-01
1.338750e+00 3.554183e-01
1.356250e+00 3.668073e-01
1.373750e+00 3.910908e-01
1.391250e+00 4.267885e-01
1.408750e+00 4.675502e-01
1.426250e+00 5.130349e-01
1.443750e+00 5.694873e-01
1.461250e+00 6.383100e-01
1.478750e+00 7.076675e-01
1.496250e+00 7.962413e-01
1.513750e+00 8.752980e-01
1.531250e+00 9.622372e-01
1.548750e+00 1.046904e+00
1.566250e+00 1.121545e+00
1.583750e+00 1.183836e+00
1.601250e+00 1.238529e+00
1.618750e+00 1.275209e+00
1.636250e+00 1.302641e+00
1.653750e+00 1.320485e+00
1.671250e+00 1.315747e+00
1.688750e+00 1.305753e+00
1.706250e+00 1.277289e+00
1.723750e+00 1.256142e+00
1.741250e+00 1.227274e+00
1.758750e+00 1.211933e+00
1.776250e+00 1.206903e+00
1.793750e+00 1.220120e+00
1.811250e+00 1.238384e+00
1.828750e+00 1.276802e+00
1.846250e+00 1.324708e+00
1.863750e+00 1.360713e+00
1.881250e+00 1.393101e+00
1.898750e+00 1.414979e+00
1.916250e+00 1.414598e+00
1.933750e+00 1.393197e+00
1.951250e+00 1.341053e+00
1.968750e+00 1.274522e+00
1.986250e+00 1.195115e+00
2.003750e+00 1.121743e+00
2.021250e+00 1.028399e+00
2.038750e+00 9.538823e-01
2.056250e+00 8.824608e-01
2.073750e+00 8.283626e-01
2.091250e+00 7.704493e-01
2.108750e+00 7.339895e-01
2.126250e+00 6.994226e-01
2.143750e+00 6.829536e-01
