# r          g(r)
2.625000e-02 0.000000e+00
4.375000e-02 0.000000e+00
6.125000e-02 0.000000e+00
7.875000e-02 0.000000e+00
9.625000e-02 0.000000e+00
1.137500e-01 0.000000e+00
1.312500e-01 0.000000e+00
1.487500e-01 0.000000e+00
1.662500e-01 0.000000e+00
1.837500e-01 0.000000e+00
2.012500e-01 0.000000e+00
2.187500e-01 0.000000e+00
2.362500e-01 0.000000e+00
2.537500e-01 0.000000e+00
2.712500e-01 0.000000e+00
2.887500e-01 0.000000e+00
3.062500e-01 0.000000e+00
3.237500e-01 0.000000e+00
3.412500e-01 0.000000e+00
3.587500e-01 0.000000e+00
3.762500e-01 0.000000e+00
3.937500e-01 0.000000e+00
4.112500e-01 0.000000e+00
4.287500e-01 0.000000e+00
4.462500e-01 0.000000e+00
4.637500e-01 0.000000e+00
4.812500e-01 0.000000e+00
4.987500e-01 0.000000e+00
5.162500e-01 0.000000e+00
5.337500e-01 0.000000e+00
5.512500e-01 0.000000e+00
5.687500e-01 0.000000e+00
5.862500e-01 0.000000e+00
6.037500e-01 0.000000e+00
6.212500e-01 0.000000e+00
6.387500e-01 0.000000e+00
6.562500e-01 0.000000e+00
6.737500e-01 1.565132e-03
6.912500e-01 1.040822e-02
7.087500e-01 3.677367e-02
7.262501e-01 1.266212e-01
7.437500e-01 2.521698e-01
7.612500e-01 4.139866e-01
7.787500e-01 5.619482e-01
7.962500e-01 7.205550e-01
8.137500e-01 8.540579e-01
8.312500e-01 9.408317e-01
8.487500e-01 9.668792e-01
8.662500e-01 1.042457e+00
8.837500e-01 1.058591e+00
9.012500e-01 1.013796e+00
9.187500e-01 9.996755e-01
9.362500e-01 9.848098e-01
9.537500e-01 9.599382e-01
9.712500e-01 9.407176e-01
9.887500e-01 9.203154e-01
1.006250e+00 8.951328e-01
1.023750e+00 8.867071e-01
1.041250e+00 8.521344e-01
1.058750e+00 8.284182e-01
1.076250e+00 8.260293e-01
1.093750e+00 8.176311e-01
1.111250e+00 8.246815e-01
1.128750e+00 8.009799e-01
1.146250e+00 8.140283e-01
1.163750e+00 8.170046e-01
1.181250e+00 8.294715e-01
1.198750e+00 8.133450e-01
1.216250e+00 8.462996e-01
1.233750e+00 8.529633e-01
1.251250e+00 8.617872e-01
1.268750e+00 8.528941e-01
1.286250e+00 9.124441e-01
1.303750e+00 8.957736e-01
1.321250e+00 9.352860e-01
1.338750e+00 9.490595e-01
1.356250e+00 9.657924e-01
1.373750e+00 9.821274e-01
1.391250e+00 1.014846e+00
1.408750e+00 1.028572e+00
1.426250e+00 1.039226e+00
1.443750e+00 1.077477e+00
1.461250e+00 1.068458e+00
1.478750e+00 1.104195e+00
1.496250e+00 1.132357e+00
1.513750e+00 1.150665e+00
1.531250e+00 1.144215e+00
1.548750e+00 1.156515e+00
1.566250e+00 1.152246e+00
1.583750e+00 1.159793e+00
1.601250e+00 1.154612e+00
1.618750e+00 1.167473e+00
1.636250e+00 1.135925e+00
1.653750e+00 1.157984e+00
1.671250e+00 1.124612e+00
1.688750e+00 1.102270e+00
1.706250e+00 1.107266e+00
1.723750e+00 1.085379e+00
1.741250e+00 1.069602e+00
1.758750e+00 1.064274e+00
1.776250e+00 1.023142e+00
1.793750e+00 1.017920e+00
1.811250e+00 9.997889e-01
1.828750e+00 9.990206e-01
1.846250e+00 9.830868e-01
1.863750e+00 9.620510e-01
1.881250e+00 9.445101e-01
1.898750e+00 9.553576e-01
1.916250e+00 9.477307e-01
1.933750e+00 9.487010e-01
1.951250e+00 9.113539e-01
1.968750e+00 9.226092e-01
1.986250e+00 9.274868e-01
2.003750e+00 9.090561e-01
2.021250e+00 9.270146e-01
2.038750e+00 9.138968e-01
2.056250e+00 9.278669e-01
2.073750e+00 9.187783e-01
2.091250e+00 9.381267e-01
2.108750e+00 9.271867e-01
2.126250e+00 9.412859e-01
2.143750e+00 9.403061e-01
