# r          g(r)
2.625000e-02 0.000000e+00
4.375000e-02 0.000000e+00
6.125000e-02 0.000000e+00
7.875000e-02 0.000000e+00
9.625000e-02 0.000000e+00
1.137500e-01 0.000000e+00
1.312500e-01 0.000000e+00
1.487500e-01 0.000000e+00
1.662500e-01 0.000000e+00
1.837500e-01 0.000000e+00
2.012500e-01 0.000000e+00
2.187500e-01 0.000000e+00
2.362500e-01 0.000000e+00
2.537500e-01 0.000000e+00
2.712500e-01 0.000000e+00
2.887500e-01 0.000000e+00
3.062500e-01 0.000000e+00
3.237500e-01 0.000000e+00
3.412500e-01 0.000000e+00
3.587500e-01 0.000000e+00
3.762500e-01 0.000000e+00
3.937500e-01 0.000000e+00
4.112500e-01 0.000000e+00
4.287500e-01 0.000000e+00
4.462500e-01 0.000000e+00
4.637500e-01 0.000000e+00
4.812500e-01 0.000000e+00
4.987500e-01 0.000000e+00
5.162500e-01 0.000000e+00
5.337500e-01 0.000000e+00
5.512500e-01 0.000000e+00
5.687500e-01 0.000000e+00
5.862500e-01 0.000000e+00
6.037500e-01 0.000000e+00
6.212500e-01 0.000000e+00
6.387500e-01 0.000000e+00
6.562500e-01 0.000000e+00
6.737500e-01 0.000000e+00
6.912500e-01 0.000000e+00
7.087500e-01 0.000000e+00
7.262501e-01 0.000000e+00
7.437500e-01 0.000000e+00
7.612500e-01 0.000000e+00
7.787500e-01 0.000000e+00
7.962500e-01 0.000000e+00
8.137500e-01 0.000000e+00
8.312500e-01 0.000000e+00
8.487500e-01 0.000000e+00
8.662500e-01 0.000000e+00
8.837500e-01 0.000000e+00
9.012500e-01 0.000000e+00
9.187500e-01 0.000000e+00
9.362500e-01 0.000000e+00
9.537500e-01 0.000000e+00
9.712500e-01 0.000000e+00
9.887500e-01 2.422520e-04
1.006250e+00 3.723677e-02
1.023750e+00 7.077613e-01
1.041250e+00 3.337107e+00
1.058750e+00 6.382992e+00
1.076250e+00 7.190493e+00
1.093750e+00 6.043897e+00
1.111250e+00 4.444918e+00
1.128750e+00 3.114285e+00
1.146250e+00 2.173975e+00
1.163750e+00 1.564585e+00
1.181250e+00 1.167947e+00
1.198750e+00 9.085070e-01
1.216250e+00 7.391912e-01
1.233750e+00 6.125714e-01
1.251250e+00 5.372820e-01
1.268750e+00 4.865483e-01
1.286250e+00 4.525430e-01
1.303750e+00 4.221798e-01
1.321250e+00 3.990092e-01
1.338750e+00 3.935122e-01
1.356250e+00 3.781796e-01
1.373750e+00 3.756204e-01
1.391250e+00 3.716779e-01
1.408750e+00 3.743624e-01
1.426250e+00 3.790742e-01
1.443750e+00 3.898595e-01
1.461250e+00 4.018224e-01
1.478750e+00 4.193828e-01
1.496250e+00 4.532601e-01
1.513750e+00 5.152825e-01
1.531250e+00 5.461587e-01
1.548750e+00 5.702845e-01
1.566250e+00 5.940269e-01
1.583750e+00 6.269286e-01
1.601250e+00 6.538430e-01
1.618750e+00 7.045827e-01
1.636250e+00 7.847136e-01
1.653750e+00 8.942336e-01
1.671250e+00 1.021750e+00
1.688750e+00 1.112576e+00
1.706250e+00 1.155356e+00
1.723750e+00 1.138627e+00
1.741250e+00 1.103871e+00
1.758750e+00 1.077490e+00
1.776250e+00 1.071957e+00
1.793750e+00 1.091506e+00
1.811250e+00 1.121512e+00
1.828750e+00 1.168055e+00
1.846250e+00 1.226375e+00
1.863750e+00 1.258395e+00
1.881250e+00 1.272589e+00
1.898750e+00 1.264247e+00
1.916250e+00 1.231802e+00
1.933750e+00 1.192400e+00
1.951250e+00 1.156575e+00
1.968750e+00 1.123540e+00
1.986250e+00 1.105945e+00
2.003750e+00 1.110941e+00
2.021250e+00 1.141705e+00
2.038750e+00 1.195627e+00
2.056250e+00 1.271690e+00
2.073750e+00 1.354558e+00
2.091250e+00 1.417509e+00
2.108750e+00 1.440159e+00
2.126250e+00 1.412702e+00
2.143750e+00 1.333747e+00
