# r          g(r)
2.625000e-02 0.000000e+00
4.375000e-02 0.000000e+00
6.125000e-02 0.000000e+00
7.875000e-02 0.000000e+00
9.625000e-02 0.000000e+00
1.137500e-01 0.000000e+00
1.312500e-01 0.000000e+00
1.487500e-01 0.000000e+00
1.662500e-01 0.000000e+00
1.837500e-01 0.000000e+00
2.012500e-01 0.000000e+00
2.187500e-01 0.000000e+00
2.362500e-01 0.000000e+00
2.537500e-01 0.000000e+00
2.712500e-01 0.000000e+00
2.887500e-01 0.000000e+00
3.062500e-01 0.000000e+00
3.237500e-01 0.000000e+00
3.412500e-01 0.000000e+00
3.587500e-01 0.000000e+00
3.762500e-01 0.000000e+00
3.937500e-01 0.000000e+00
4.112500e-01 0.000000e+00
4.287500e-01 0.000000e+00
4.462500e-01 0.000000e+00
4.637500e-01 0.000000e+00
4.812500e-01 0.000000e+00
4.987500e-01 0.000000e+00
5.162500e-01 0.000000e+00
5.337500e-01 0.000000e+00
5.512500e-01 0.000000e+00
5.687500e-01 0.000000e+00
5.862500e-01 0.000000e+00
6.037500e-01 0.000000e+00
6.212500e-01 0.000000e+00
6.387500e-01 0.000000e+00
6.562500e-01 0.000000e+00
6.737500e-01 0.000000e+00
6.912500e-01 0.000000e+00
7.087500e-01 0.000000e+00
7.262501e-01 0.000000e+00
7.437500e-01 0.000000e+00
7.612500e-01 0.000000e+00
7.787500e-01 0.000000e+00
7.962500e-01 0.000000e+00
8.137500e-01 0.000000e+00
8.312500e-01 1.096780e-02
8.487500e-01 8.198584e-01
8.662500e-01 5.911423e+00
8.837500e-01 1.112506e+01
9.012500e-01 1.000372e+01
9.187500e-01 6.324077e+00
9.362500e-01 3.551854e+00
9.537500e-01 1.947058e+00
9.712500e-01 1.128861e+00
9.887500e-01 7.116879e-01
1.006250e+00 4.999364e-01
1.023750e+00 3.769183e-01
1.041250e+00 3.166506e-01
1.058750e+00 2.826045e-01
1.076250e+00 2.743072e-01
1.093750e+00 2.645719e-01
1.111250e+00 2.772080e-01
1.128750e+00 2.767832e-01
1.146250e+00 2.905338e-01
1.163750e+00 2.991370e-01
1.181250e+00 3.114888e-01
1.198750e+00 3.236569e-01
1.216250e+00 3.388080e-01
1.233750e+00 3.472846e-01
1.251250e+00 3.553340e-01
1.268750e+00 3.612257e-01
1.286250e+00 3.629735e-01
1.303750e+00 3.766457e-01
1.321250e+00 3.809791e-01
1.338750e+00 3.917547e-01
1.356250e+00 4.089779e-01
1.373750e+00 4.291442e-01
1.391250e+00 4.487152e-01
1.408750e+00 4.882821e-01
1.426250e+00 5.322104e-01
1.443750e+00 5.767448e-01
1.461250e+00 6.359059e-01
1.478750e+00 7.125549e-01
1.496250e+00 8.020015e-01
1.513750e+00 8.928117e-01
1.531250e+00 9.801382e-01
1.548750e+00 1.087280e+00
1.566250e+00 1.173427e+00
1.583750e+00 1.253064e+00
1.601250e+00 1.341936e+00
1.618750e+00 1.414380e+00
1.636250e+00 1.463407e+00
1.653750e+00 1.471970e+00
1.671250e+00 1.442333e+00
1.688750e+00 1.378647e+00
1.706250e+00 1.307926e+00
1.723750e+00 1.217215e+00
1.741250e+00 1.149606e+00
1.758750e+00 1.109096e+00
1.776250e+00 1.096812e+00
1.793750e+00 1.116201e+00
1.811250e+00 1.160662e+00
1.828750e+00 1.223271e+00
1.846250e+00 1.295140e+00
1.863750e+00 1.387222e+00
1.881250e+00 1.489133e+00
1.898750e+00 1.567080e+00
1.916250e+00 1.609555e+00
1.933750e+00 1.564726e+00
1.951250e+00 1.460356e+00
1.968750e+00 1.314200e+00
1.986250e+00 1.153890e+00
2.003750e+00 1.013122e+00
2.021250e+00 8.810088e-01
2.038750e+00 7.885985e-01
2.056250e+00 7.169530e-01
2.073750e+00 6.704444e-01
2.091250e+00 6.377290e-01
2.108750e+00 6.243344e-01
2.126250e+00 6.205320e-01
2.143750e+00 6.197898e-01
