# r          g(r)
2.625000e-02 0.000000e+00
4.375000e-02 0.000000e+00
6.125000e-02 0.000000e+00
7.875000e-02 0.000000e+00
9.625000e-02 0.000000e+00
1.137500e-01 0.000000e+00
1.312500e-01 0.000000e+00
1.487500e-01 0.000000e+00
1.662500e-01 0.000000e+00
1.837500e-01 0.000000e+00
2.012500e-01 0.000000e+00
2.187500e-01 0.000000e+00
2.362500e-01 0.000000e+00
2.537500e-01 0.000000e+00
2.712500e-01 0.000000e+00
2.887500e-01 0.000000e+00
3.062500e-01 0.000000e+00
3.237500e-01 0.000000e+00
3.412500e-01 0.000000e+00
3.587500e-01 0.000000e+00
3.762500e-01 0.000000e+00
3.937500e-01 0.000000e+00
4.112500e-01 0.000000e+00
4.287500e-01 0.000000e+00
4.462500e-01 0.000000e+00
4.637500e-01 0.000000e+00
4.812500e-01 0.000000e+00
4.987500e-01 0.000000e+00
5.162500e-01 0.000000e+00
5.337500e-01 0.000000e+00
5.512500e-01 0.000000e+00
5.687500e-01 0.000000e+00
5.862500e-01 0.000000e+00
6.037500e-01 0.000000e+00
6.212500e-01 0.000000e+00
6.387500e-01 0.000000e+00
6.562500e-01 0.000000e+00
6.737500e-01 0.000000e+00
6.912500e-01 0.000000e+00
7.087500e-01 0.000000e+00
7.262501e-01 0.000000e+00
7.437500e-01 0.000000e+00
7.612500e-01 0.000000e+00
7.787500e-01 0.000000e+00
7.962500e-01 0.000000e+00
8.137500e-01 0.000000e+00
8.312500e-01 0.000000e+00
8.487500e-01 0.000000e+00
8.662500e-01 0.000000e+00
8.837500e-01 1.347708e-03
9.012500e-01 1.425463e-02
9.187500e-01 1.222044e-01
9.362500e-01 2.845907e-01
9.537500e-01 3.818577e-01
9.712500e-01 4.697590e-01
9.887500e-01 4.274402e-01
1.006250e+00 3.929509e-01
1.023750e+00 3.364445e-01
1.041250e+00 2.922241e-01
1.058750e+00 2.516547e-01
1.076250e+00 2.508076e-01
1.093750e+00 2.639648e-01
1.111250e+00 2.778771e-01
1.128750e+00 3.131135e-01
1.146250e+00 3.212532e-01
1.163750e+00 4.002638e-01
1.181250e+00 4.692096e-01
1.198750e+00 5.750091e-01
1.216250e+00 6.895062e-01
1.233750e+00 9.224962e-01
1.251250e+00 1.024605e+00
1.268750e+00 1.265290e+00
1.286250e+00 1.477954e+00
1.303750e+00 1.663330e+00
1.321250e+00 1.840243e+00
1.338750e+00 1.778367e+00
1.356250e+00 1.811156e+00
1.373750e+00 1.780362e+00
1.391250e+00 1.778285e+00
1.408750e+00 1.898795e+00
1.426250e+00 1.824021e+00
1.443750e+00 1.791186e+00
1.461250e+00 1.668676e+00
1.478750e+00 1.467205e+00
1.496250e+00 1.290146e+00
1.513750e+00 1.153915e+00
1.531250e+00 1.001996e+00
1.548750e+00 9.022434e-01
1.566250e+00 8.959230e-01
1.583750e+00 8.372141e-01
1.601250e+00 8.805842e-01
1.618750e+00 9.118608e-01
1.636250e+00 1.033615e+00
1.653750e+00 1.099598e+00
1.671250e+00 1.248910e+00
1.688750e+00 1.390005e+00
1.706250e+00 1.622677e+00
1.723750e+00 1.818751e+00
1.741250e+00 1.955257e+00
1.758750e+00 1.880813e+00
1.776250e+00 1.710158e+00
1.793750e+00 1.453505e+00
1.811250e+00 1.173042e+00
1.828750e+00 9.382514e-01
1.846250e+00 7.661439e-01
1.863750e+00 6.633372e-01
1.881250e+00 5.698617e-01
1.898750e+00 5.331264e-01
1.916250e+00 5.010762e-01
1.933750e+00 4.723413e-01
1.951250e+00 4.791107e-01
1.968750e+00 4.926339e-01
1.986250e+00 4.919915e-01
2.003750e+00 5.080788e-01
2.021250e+00 5.395170e-01
2.038750e+00 5.652382e-01
2.056250e+00 5.922515e-01
2.073750e+00 5.984569e-01
2.091250e+00 6.443239e-01
2.108750e+00 6.398186e-01
2.126250e+00 6.537871e-01
2.143750e+00 6.662892e-01
