# k          S(k)
4.735000e-01 nan
7.225000e-01 7.781897e-03
9.715000e-01 8.699516e-03
1.220500e+00 9.198890e-03
1.469500e+00 1.003007e-02
1.718500e+00 1.084319e-02
1.967500e+00 1.240794e-02
2.216500e+00 1.370628e-02
2.465500e+00 1.601518e-02
2.714500e+00 1.862320e-02
2.963500e+00 2.244822e-02
3.212500e+00 2.546068e-02
3.461500e+00 3.099080e-02
3.710500e+00 3.735730e-02
3.959500e+00 5.017851e-02
4.208500e+00 6.654830e-02
4.457500e+00 8.397212e-02
4.706500e+00 1.103269e-01
4.955500e+00 1.360734e-01
5.204500e+00 1.868570e-01
5.453500e+00 2.510597e-01
5.702500e+00 3.431860e-01
5.951500e+00 4.652747e-01
6.200500e+00 6.533487e-01
6.449500e+00 8.863428e-01
6.698500e+00 1.413237e+00
6.947500e+00 2.031892e+00
7.196500e+00 2.501008e+00
7.445499e+00 2.316070e+00
7.694500e+00 1.666929e+00
7.943500e+00 1.085756e+00
8.192500e+00 7.839155e-01
8.441500e+00 5.882372e-01
8.690500e+00 4.810742e-01
8.939501e+00 4.128441e-01
9.188500e+00 3.709949e-01
9.437500e+00 3.468894e-01
9.686501e+00 3.432918e-01
9.935500e+00 3.465701e-01
1.018450e+01 3.667298e-01
1.043350e+01 4.042760e-01
1.068250e+01 4.582916e-01
1.093150e+01 5.286052e-01
1.118050e+01 6.203341e-01
1.142950e+01 7.473035e-01
1.167850e+01 8.837420e-01
1.192750e+01 1.032211e+00
1.217650e+01 1.152994e+00
1.242550e+01 1.218323e+00
1.267450e+01 1.216148e+00
1.292350e+01 1.138300e+00
1.317250e+01 1.063461e+00
1.342150e+01 9.913377e-01
1.367050e+01 9.157830e-01
1.391950e+01 8.678455e-01
1.416850e+01 8.241057e-01
1.441750e+01 7.945589e-01
1.466650e+01 7.408728e-01
1.491550e+01 7.009516e-01
1.516450e+01 6.569446e-01
1.541350e+01 6.259083e-01
1.566250e+01 6.082915e-01
1.591150e+01 5.974793e-01
1.616050e+01 6.000501e-01
1.640950e+01 6.151584e-01
1.665850e+01 6.414905e-01
1.690750e+01 6.797923e-01
1.715650e+01 7.266056e-01
1.740550e+01 7.858672e-01
1.765450e+01 8.425325e-01
1.790350e+01 9.032164e-01
1.815250e+01 9.448454e-01
1.840150e+01 9.755902e-01
1.865050e+01 9.787969e-01
1.889950e+01 9.692626e-01
1.914850e+01 9.453835e-01
1.939750e+01 9.123175e-01
1.964650e+01 8.794816e-01
1.989550e+01 8.501549e-01
2.014450e+01 8.179142e-01
2.039350e+01 7.904060e-01
2.064250e+01 7.635751e-01
2.089150e+01 7.377434e-01
2.114050e+01 7.173174e-01
2.138950e+01 7.057737e-01
2.163850e+01 6.983924e-01
2.188750e+01 6.945914e-01
2.213650e+01 6.982934e-01
2.238550e+01 7.119434e-01
2.263450e+01 7.268847e-01
2.288350e+01 7.464809e-01
2.313250e+01 7.728858e-01
2.338150e+01 7.983108e-01
2.363050e+01 8.234374e-01
2.387950e+01 8.449457e-01
2.412850e+01 8.626261e-01
2.437750e+01 8.813536e-01
2.462650e+01 8.835796e-01
2.487550e+01 8.783112e-01
