# k          S(k)
4.735000e-01 nan
7.225000e-01 -8.868996e-03
9.715000e-01 -9.831698e-03
1.220500e+00 -1.173590e-02
1.469500e+00 -1.216406e-02
1.718500e+00 -1.338816e-02
1.967500e+00 -1.564384e-02
2.216500e+00 -1.648578e-02
2.465500e+00 -2.102799e-02
2.714500e+00 -2.511534e-02
2.963500e+00 -3.023732e-02
3.212500e+00 -3.416488e-02
3.461500e+00 -3.902464e-02
3.710500e+00 -5.003647e-02
3.959500e+00 -6.375796e-02
4.208500e+00 -8.045007e-02
4.457500e+00 -9.967966e-02
4.706500e+00 -1.245416e-01
4.955500e+00 -1.424887e-01
5.204500e+00 -1.716640e-01
5.453500e+00 -2.020287e-01
5.702500e+00 -2.363547e-01
5.951500e+00 -2.585528e-01
6.200500e+00 -2.809600e-01
6.449500e+00 -2.885507e-01
6.698500e+00 -2.623146e-01
6.947500e+00 -1.461935e-01
7.196500e+00 9.075240e-02
7.445499e+00 2.846726e-01
7.694500e+00 3.180158e-01
7.943500e+00 2.586862e-01
8.192500e+00 2.082133e-01
8.441500e+00 1.627377e-01
8.690500e+00 1.284525e-01
8.939501e+00 9.966148e-02
9.188500e+00 8.089153e-02
9.437500e+00 6.131430e-02
9.686501e+00 4.521854e-02
9.935500e+00 2.855469e-02
1.018450e+01 9.148798e-03
1.043350e+01 -7.540484e-03
1.068250e+01 -2.653189e-02
1.093150e+01 -4.716600e-02
1.118050e+01 -6.942984e-02
1.142950e+01 -8.918720e-02
1.167850e+01 -1.097222e-01
1.192750e+01 -1.205176e-01
1.217650e+01 -1.193888e-01
1.242550e+01 -1.019367e-01
1.267450e+01 -6.974621e-02
1.292350e+01 -4.422078e-02
1.317250e+01 -1.837364e-02
1.342150e+01 -2.569640e-03
1.367050e+01 5.586904e-03
1.391950e+01 1.189024e-02
1.416850e+01 1.899573e-02
1.441750e+01 2.496132e-02
1.466650e+01 3.665499e-02
1.491550e+01 4.456467e-02
1.516450e+01 5.089499e-02
1.541350e+01 5.548256e-02
1.566250e+01 5.793445e-02
1.591150e+01 5.875471e-02
1.616050e+01 5.547355e-02
1.640950e+01 5.108996e-02
1.665850e+01 4.363946e-02
1.690750e+01 3.459007e-02
1.715650e+01 2.169265e-02
1.740550e+01 7.495103e-03
1.765450e+01 -8.793323e-03
1.790350e+01 -2.614311e-02
1.815250e+01 -4.127605e-02
1.840150e+01 -5.164150e-02
1.865050e+01 -5.628964e-02
1.889950e+01 -5.625109e-02
1.914850e+01 -4.983708e-02
1.939750e+01 -4.110095e-02
1.964650e+01 -3.310691e-02
1.989550e+01 -2.453026e-02
2.014450e+01 -1.678871e-02
2.039350e+01 -1.041245e-02
2.064250e+01 -4.010614e-03
2.089150e+01 3.105752e-03
2.114050e+01 7.393545e-03
2.138950e+01 1.223172e-02
2.163850e+01 1.673631e-02
2.188750e+01 2.068117e-02
2.213650e+01 2.294061e-02
2.238550e+01 2.614219e-02
2.263450e+01 2.776426e-02
2.288350e+01 3.027197e-02
2.313250e+01 2.943292e-02
2.338150e+01 2.751730e-02
2.363050e+01 2.339032e-02
2.387950e+01 1.841272e-02
2.412850e+01 1.220459e-02
2.437750e+01 5.096689e-03
2.462650e+01 -2.928533e-03
2.487550e+01 -9.730604e-03
