# k          S(k)
4.735000e-01 nan
7.225000e-01 6.905398e-02
9.715000e-01 6.842773e-02
1.220500e+00 7.141607e-02
1.469500e+00 7.987244e-02
1.718500e+00 7.818556e-02
1.967500e+00 8.406752e-02
2.216500e+00 8.866525e-02
2.465500e+00 9.448115e-02
2.714500e+00 1.044775e-01
2.963500e+00 1.135519e-01
3.212500e+00 1.239186e-01
3.461500e+00 1.348165e-01
3.710500e+00 1.479778e-01
3.959500e+00 1.662683e-01
4.208500e+00 1.859662e-01
4.457500e+00 2.002553e-01
4.706500e+00 2.149598e-01
4.955500e+00 2.253724e-01
5.204500e+00 2.400988e-01
5.453500e+00 2.461297e-01
5.702500e+00 2.424452e-01
5.951500e+00 2.350730e-01
6.200500e+00 2.198573e-01
6.449500e+00 2.012562e-01
6.698500e+00 1.732049e-01
6.947500e+00 1.536148e-01
7.196500e+00 1.577322e-01
7.445499e+00 1.861099e-01
7.694500e+00 2.068920e-01
7.943500e+00 2.191468e-01
8.192500e+00 2.172568e-01
8.441500e+00 2.134798e-01
8.690500e+00 2.084280e-01
8.939501e+00 2.044151e-01
9.188500e+00 1.996023e-01
9.437500e+00 1.966064e-01
9.686501e+00 1.960645e-01
9.935500e+00 1.957352e-01
1.018450e+01 1.933961e-01
1.043350e+01 1.952689e-01
1.068250e+01 1.971361e-01
1.093150e+01 2.002479e-01
1.118050e+01 1.995392e-01
1.142950e+01 2.019320e-01
1.167850e+01 2.031350e-01
1.192750e+01 2.023224e-01
1.217650e+01 2.010471e-01
1.242550e+01 1.982800e-01
1.267450e+01 1.966842e-01
1.292350e+01 1.965261e-01
1.317250e+01 1.971743e-01
1.342150e+01 1.978576e-01
1.367050e+01 2.002457e-01
1.391950e+01 2.013881e-01
1.416850e+01 2.006324e-01
1.441750e+01 2.039365e-01
1.466650e+01 2.026727e-01
1.491550e+01 2.025121e-01
1.516450e+01 2.025946e-01
1.541350e+01 2.026796e-01
1.566250e+01 2.014832e-01
1.591150e+01 2.016768e-01
1.616050e+01 2.006536e-01
1.640950e+01 1.995328e-01
1.665850e+01 1.983772e-01
1.690750e+01 1.979901e-01
1.715650e+01 1.981580e-01
1.740550e+01 1.979395e-01
1.765450e+01 1.974235e-01
1.790350e+01 1.977175e-01
1.815250e+01 1.989755e-01
1.840150e+01 1.997748e-01
1.865050e+01 2.005371e-01
1.889950e+01 2.009142e-01
1.914850e+01 2.005560e-01
1.939750e+01 2.014197e-01
1.964650e+01 2.006958e-01
1.989550e+01 2.009539e-01
2.014450e+01 1.999577e-01
2.039350e+01 1.998053e-01
2.064250e+01 2.003105e-01
2.089150e+01 1.994365e-01
2.114050e+01 1.992584e-01
2.138950e+01 2.004432e-01
2.163850e+01 2.001988e-01
2.188750e+01 2.000515e-01
2.213650e+01 1.995181e-01
2.238550e+01 2.005413e-01
2.263450e+01 2.008432e-01
2.288350e+01 2.005650e-01
2.313250e+01 2.009360e-01
2.338150e+01 2.005779e-01
2.363050e+01 2.003897e-01
2.387950e+01 1.996811e-01
2.412850e+01 1.996906e-01
2.437750e+01 1.991851e-01
2.462650e+01 1.995957e-01
2.487550e+01 1.993436e-01
