# r          S(k)
4.735000e-01 nan
7.225000e-01 4.139897e-03
9.715000e-01 4.400443e-03
1.220500e+00 4.921604e-03
1.469500e+00 5.586993e-03
1.718500e+00 5.842117e-03
1.967500e+00 6.879942e-03
2.216500e+00 7.417251e-03
2.465500e+00 8.937757e-03
2.714500e+00 1.118356e-02
2.963500e+00 1.351513e-02
3.212500e+00 1.581823e-02
3.461500e+00 1.910676e-02
3.710500e+00 2.473389e-02
3.959500e+00 3.364886e-02
4.208500e+00 4.674065e-02
4.457500e+00 6.113620e-02
4.706500e+00 8.457085e-02
4.955500e+00 1.099316e-01
5.204500e+00 1.559266e-01
5.453500e+00 2.184255e-01
5.702500e+00 3.192131e-01
5.951500e+00 4.606795e-01
6.200500e+00 6.658757e-01
6.449500e+00 9.440158e-01
6.698500e+00 1.502154e+00
6.947500e+00 2.130063e+00
7.196500e+00 2.585911e+00
7.445499e+00 2.315187e+00
7.694500e+00 1.682328e+00
7.943500e+00 1.108215e+00
8.192500e+00 7.897806e-01
8.441500e+00 5.750626e-01
8.690500e+00 4.520837e-01
8.939501e+00 3.684683e-01
9.188500e+00 3.311947e-01
9.437500e+00 2.972646e-01
9.686501e+00 2.846372e-01
9.935500e+00 2.898704e-01
1.018450e+01 3.078394e-01
1.043350e+01 3.448820e-01
1.068250e+01 3.956977e-01
1.093150e+01 4.692002e-01
1.118050e+01 5.745129e-01
1.142950e+01 7.201386e-01
1.167850e+01 8.882113e-01
1.192750e+01 1.080540e+00
1.217650e+01 1.254892e+00
1.242550e+01 1.362536e+00
1.267450e+01 1.362958e+00
1.292350e+01 1.276761e+00
1.317250e+01 1.153532e+00
1.342150e+01 1.032702e+00
1.367050e+01 9.343048e-01
1.391950e+01 8.584432e-01
1.416850e+01 7.937419e-01
1.441750e+01 7.359719e-01
1.466650e+01 6.780075e-01
1.491550e+01 6.287419e-01
1.516450e+01 5.821316e-01
1.541350e+01 5.501924e-01
1.566250e+01 5.322415e-01
1.591150e+01 5.221683e-01
1.616050e+01 5.287753e-01
1.640950e+01 5.518250e-01
1.665850e+01 5.902225e-01
1.690750e+01 6.470475e-01
1.715650e+01 7.167738e-01
1.740550e+01 8.062593e-01
1.765450e+01 9.028394e-01
1.790350e+01 1.000229e+00
1.815250e+01 1.072753e+00
1.840150e+01 1.111769e+00
1.865050e+01 1.109048e+00
1.889950e+01 1.071392e+00
1.914850e+01 1.009635e+00
1.939750e+01 9.362660e-01
1.964650e+01 8.822404e-01
1.989550e+01 8.211443e-01
2.014450e+01 7.752426e-01
2.039350e+01 7.313163e-01
2.064250e+01 6.923254e-01
2.089150e+01 6.604357e-01
2.114050e+01 6.391078e-01
2.138950e+01 6.217355e-01
2.163850e+01 6.150724e-01
2.188750e+01 6.199071e-01
2.213650e+01 6.348286e-01
2.238550e+01 6.591669e-01
2.263450e+01 6.954904e-01
2.288350e+01 7.412165e-01
2.313250e+01 7.986347e-01
2.338150e+01 8.520190e-01
2.363050e+01 9.092366e-01
2.387950e+01 9.515275e-01
2.412850e+01 9.819791e-01
2.437750e+01 9.899864e-01
2.462650e+01 9.776859e-01
2.487550e+01 9.502419e-01
