# r          S(k)
4.735000e-01 nan
7.225000e-01 -7.976852e-03
9.715000e-01 -8.231573e-03
1.220500e+00 -9.277979e-03
1.469500e+00 -9.817559e-03
1.718500e+00 -1.060438e-02
1.967500e+00 -1.246447e-02
2.216500e+00 -1.382453e-02
2.465500e+00 -1.638946e-02
2.714500e+00 -2.105159e-02
2.963500e+00 -2.511381e-02
3.212500e+00 -2.904208e-02
3.461500e+00 -3.428651e-02
3.710500e+00 -4.313221e-02
3.959500e+00 -5.721848e-02
4.208500e+00 -7.423534e-02
4.457500e+00 -9.339558e-02
4.706500e+00 -1.171247e-01
4.955500e+00 -1.418105e-01
5.204500e+00 -1.716464e-01
5.453500e+00 -2.090809e-01
5.702500e+00 -2.471765e-01
5.951500e+00 -2.784295e-01
6.200500e+00 -3.056055e-01
6.449500e+00 -3.208590e-01
6.698500e+00 -2.916707e-01
6.947500e+00 -1.696510e-01
7.196500e+00 8.890133e-02
7.445499e+00 2.970488e-01
7.694500e+00 3.425927e-01
7.943500e+00 2.843157e-01
8.192500e+00 2.293122e-01
8.441500e+00 1.796555e-01
8.690500e+00 1.437812e-01
8.939501e+00 1.134038e-01
9.188500e+00 9.240559e-02
9.437500e+00 7.121456e-02
9.686501e+00 5.386657e-02
9.935500e+00 3.644740e-02
1.018450e+01 1.752215e-02
1.043350e+01 -3.080237e-03
1.068250e+01 -2.349788e-02
1.093150e+01 -4.887221e-02
1.118050e+01 -7.631973e-02
1.142950e+01 -1.041921e-01
1.167850e+01 -1.316085e-01
1.192750e+01 -1.478395e-01
1.217650e+01 -1.501894e-01
1.242550e+01 -1.272812e-01
1.267450e+01 -9.267938e-02
1.292350e+01 -5.225008e-02
1.317250e+01 -2.131996e-02
1.342150e+01 -2.340841e-03
1.367050e+01 9.240397e-03
1.391950e+01 1.384755e-02
1.416850e+01 2.075605e-02
1.441750e+01 2.904830e-02
1.466650e+01 4.378089e-02
1.491550e+01 5.473027e-02
1.516450e+01 6.597686e-02
1.541350e+01 7.416448e-02
1.566250e+01 7.886562e-02
1.591150e+01 7.943118e-02
1.616050e+01 7.833542e-02
1.640950e+01 7.404394e-02
1.665850e+01 6.534408e-02
1.690750e+01 5.365530e-02
1.715650e+01 3.729672e-02
1.740550e+01 1.283286e-02
1.765450e+01 -1.407874e-02
1.790350e+01 -4.460357e-02
1.815250e+01 -7.247448e-02
1.840150e+01 -9.054513e-02
1.865050e+01 -9.627294e-02
1.889950e+01 -9.212595e-02
1.914850e+01 -7.877588e-02
1.939750e+01 -6.160608e-02
1.964650e+01 -4.474257e-02
1.989550e+01 -2.892293e-02
2.014450e+01 -1.720542e-02
2.039350e+01 -6.309840e-03
2.064250e+01 3.579007e-03
2.089150e+01 1.280589e-02
2.114050e+01 1.909259e-02
2.138950e+01 2.448330e-02
2.163850e+01 2.905199e-02
2.188750e+01 3.463500e-02
2.213650e+01 4.060438e-02
2.238550e+01 4.500507e-02
2.263450e+01 4.896409e-02
2.288350e+01 5.192269e-02
2.313250e+01 5.152357e-02
2.338150e+01 4.920942e-02
2.363050e+01 4.003542e-02
2.387950e+01 2.843875e-02
2.412850e+01 1.394865e-02
2.437750e+01 -1.592652e-03
2.462650e+01 -1.878536e-02
2.487550e+01 -3.131635e-02
