# r          S(k)
4.735000e-01 nan
7.225000e-01 7.111793e-02
9.715000e-01 7.131398e-02
1.220500e+00 7.194324e-02
1.469500e+00 7.350660e-02
1.718500e+00 7.540238e-02
1.967500e+00 8.071764e-02
2.216500e+00 8.630615e-02
2.465500e+00 9.084464e-02
2.714500e+00 9.797039e-02
2.963500e+00 1.070809e-01
3.212500e+00 1.139593e-01
3.461500e+00 1.250439e-01
3.710500e+00 1.367515e-01
3.959500e+00 1.585212e-01
4.208500e+00 1.799603e-01
4.457500e+00 1.987494e-01
4.706500e+00 2.182119e-01
4.955500e+00 2.334743e-01
5.204500e+00 2.536795e-01
5.453500e+00 2.619855e-01
5.702500e+00 2.597227e-01
5.951500e+00 2.517555e-01
6.200500e+00 2.335407e-01
6.449500e+00 2.123727e-01
6.698500e+00 1.680473e-01
6.947500e+00 1.359355e-01
7.196500e+00 1.349681e-01
7.445499e+00 1.718904e-01
7.694500e+00 2.060714e-01
7.943500e+00 2.199827e-01
8.192500e+00 2.182873e-01
8.441500e+00 2.153475e-01
8.690500e+00 2.070348e-01
8.939501e+00 2.020310e-01
9.188500e+00 1.970612e-01
9.437500e+00 1.960364e-01
9.686501e+00 1.943460e-01
9.935500e+00 1.947128e-01
1.018450e+01 1.958368e-01
1.043350e+01 1.973898e-01
1.068250e+01 2.014365e-01
1.093150e+01 2.037439e-01
1.118050e+01 2.072752e-01
1.142950e+01 2.082635e-01
1.167850e+01 2.079082e-01
1.192750e+01 2.075729e-01
1.217650e+01 2.019894e-01
1.242550e+01 1.943068e-01
1.267450e+01 1.884491e-01
1.292350e+01 1.857975e-01
1.317250e+01 1.866799e-01
1.342150e+01 1.897674e-01
1.367050e+01 1.957144e-01
1.391950e+01 2.004877e-01
1.416850e+01 2.062224e-01
1.441750e+01 2.081817e-01
1.466650e+01 2.105383e-01
1.491550e+01 2.096388e-01
1.516450e+01 2.091960e-01
1.541350e+01 2.087372e-01
1.566250e+01 2.065967e-01
1.591150e+01 2.036828e-01
1.616050e+01 2.002292e-01
1.640950e+01 1.971723e-01
1.665850e+01 1.944513e-01
1.690750e+01 1.914992e-01
1.715650e+01 1.889968e-01
1.740550e+01 1.884688e-01
1.765450e+01 1.904399e-01
1.790350e+01 1.942960e-01
1.815250e+01 1.988078e-01
1.840150e+01 2.044521e-01
1.865050e+01 2.066974e-01
1.889950e+01 2.085704e-01
1.914850e+01 2.076423e-01
1.939750e+01 2.058393e-01
1.964650e+01 2.035848e-01
1.989550e+01 2.005912e-01
2.014450e+01 1.986397e-01
2.039350e+01 1.975375e-01
2.064250e+01 1.971097e-01
2.089150e+01 1.966324e-01
2.114050e+01 1.969154e-01
2.138950e+01 1.980761e-01
2.163850e+01 1.991520e-01
2.188750e+01 2.004682e-01
2.213650e+01 2.015742e-01
2.238550e+01 2.027124e-01
2.263450e+01 2.027663e-01
2.288350e+01 2.028211e-01
2.313250e+01 2.022906e-01
2.338150e+01 2.007262e-01
2.363050e+01 1.993809e-01
2.387950e+01 1.975158e-01
2.412850e+01 1.964635e-01
2.437750e+01 1.967627e-01
2.462650e+01 1.972836e-01
2.487550e+01 1.975363e-01
